helper,version,commit
bpf_lwt_seg6_store_bytes,4.18,fe94cc290f535709d3c5ebd1e472dfd0aec7ee79
bpf_lwt_seg6_adjust_srh,4.18,fe94cc290f535709d3c5ebd1e472dfd0aec7ee79
bpf_lwt_seg6_action,4.18,fe94cc290f535709d3c5ebd1e472dfd0aec7ee79
bpf_rc_repeat,4.18,f4364dcfc86df7c1ca47b256eaf6b6d0cdd0d936
bpf_rc_keydown,4.18,f4364dcfc86df7c1ca47b256eaf6b6d0cdd0d936
bpf_skb_cgroup_id,4.18,cb20b08ead401fd17627a36f035c0bf5bfee5567
bpf_get_current_cgroup_id,4.18,bf6fa2c893c5237b48569a13fa3c673041430b6c
bpf_get_local_storage,4.19,cd3394317653837e2eb5c5d0904a8996102af9fc
bpf_sk_select_reuseport,4.19,2dbb9b9e6df67d444fbe425c7f6014858d337adf
bpf_skb_ancestor_cgroup_id,4.19,7723628101aaeb1d723786747529b4ea65c5b5c5
bpf_sk_lookup_tcp,4.20,6acc9b432e6714d72d7d77ec7c27f6f8358d0c71
bpf_sk_lookup_udp,4.20,6acc9b432e6714d72d7d77ec7c27f6f8358d0c71
bpf_sk_release,4.20,6acc9b432e6714d72d7d77ec7c27f6f8358d0c71
bpf_map_push_elem,4.20,f1a2e44a3aeccb3ff18d3ccc0b0203e70b95bd92
bpf_map_pop_elem,4.20,f1a2e44a3aeccb3ff18d3ccc0b0203e70b95bd92
bpf_map_peek_elem,4.20,f1a2e44a3aeccb3ff18d3ccc0b0203e70b95bd92
bpf_msg_push_data,4.20,6fff607e2f14bd7c63c06c464a6f93b8efbabe28
bpf_msg_pop_data,5.0,7246d8ed4dcce23f7509949a77be15fa9f0e3d28
bpf_rc_pointer_rel,5.0,01d3240a04f4c09392e13c77b54d4423ebce2d72
bpf_spin_lock,5.1,d83525ca62cf8ebe3271d14c36fb900c294274a2
bpf_spin_unlock,5.1,d83525ca62cf8ebe3271d14c36fb900c294274a2
bpf_sk_fullsock,5.1,46f8bc92758c6259bcf945e9216098661c1587cd
bpf_tcp_sock,5.1,655a51e536c09d15ffa3603b1b6fce2b45b85a1f
bpf_skb_ecn_set_ce,5.1,f7c917ba11a67632a8452ea99fe132f626a7a2cc
bpf_get_listener_sock,5.1,dbafd7ddd62369b2f3926ab847cbf8fc40e800b7
bpf_skc_lookup_tcp,5.2,edbf8c01de5a104a71ed6df2bf6421ceb2836a8e
bpf_tcp_check_syncookie,5.2,399040847084a69f345e0a52fd62f04654e0fce3
bpf_sysctl_get_name,5.2,808649fb787d918a48a360a668ee4ee9023f0c11
bpf_sysctl_get_current_value,5.2,1d11b3016cec4ed9770b98e82a61708c8f4926e7
bpf_sysctl_get_new_value,5.2,4e63acdff864654cee0ac5aaeda3913798ee78f6
bpf_sysctl_set_new_value,5.2,4e63acdff864654cee0ac5aaeda3913798ee78f6
bpf_strtol,5.2,d7a4cb9b6705a89937d12c8158a35a3145dc967a
bpf_strtoul,5.2,d7a4cb9b6705a89937d12c8158a35a3145dc967a
bpf_sk_storage_get,5.2,6ac99e8f23d4b10258406ca0dd7bffca5f31da9d
bpf_sk_storage_delete,5.2,6ac99e8f23d4b10258406ca0dd7bffca5f31da9d
bpf_send_signal,5.3,8b401f9ed2441ad9e219953927a842d24ed051fc
bpf_tcp_gen_syncookie,5.4,70d66244317e958092e9c971b08dd5b7fd29d9cb
bpf_skb_output,5.5,a7658e1a4164ce2b9eb4a11aadbba38586e93bd6
bpf_probe_read_user,5.5,6ae08ae3dea2cfa03dd3665a3c8475c2d429ef47
bpf_probe_read_kernel,5.5,6ae08ae3dea2cfa03dd3665a3c8475c2d429ef47
bpf_probe_read_user_str,5.5,6ae08ae3dea2cfa03dd3665a3c8475c2d429ef47
bpf_probe_read_kernel_str,5.5,6ae08ae3dea2cfa03dd3665a3c8475c2d429ef47
bpf_tcp_send_ack,5.6,206057fe020ac5c037d5e2dd6562a9bd216ec765
bpf_send_signal_thread,5.6,8482941f09067da42f9c3362e15bfb3f3c19d610
bpf_jiffies64,5.6,5576b991e9c1a11d2cc21c4b94fc75ec27603896
bpf_read_branch_records,5.7,fff7b64355eac6e29b50229ad1512315bc04b44e
bpf_get_ns_current_pid_tgid,5.7,b4490c5c4e023f09b7d27c9a9d3e7ad7d09ea6bf
bpf_xdp_output,5.7,d831ee84bfc9173eecf30dbbc2553ae81b996c60
bpf_get_netns_cookie,5.7,f318903c0bf42448b4c884732df2bbb0ef7a2284
bpf_get_current_ancestor_cgroup_id,5.7,0f09abd105da6c37713d2b253730a86cb45e127a
bpf_sk_assign,5.7,cf7fbe660f2dbd738ab58aea8e9b0ca6ad232449
bpf_ktime_get_boot_ns,5.8,71d19214776e61b33da48f7c1b46e522c7f78221
